Time,AVz,Ay,Steer_SW
          5.7, 1.58439743519, -0.172170475125, 35.6827545166
        5.725, 2.04614377022, -0.155024945736, 33.1146507263
         5.75, 2.44346475601, -0.139009207487, 29.7202835083
        5.775, 2.77312207222, -0.123944967985, 25.4527378082
          5.8, 3.02773499489, -0.109454281628, 20.2715167999
        5.825, 3.20110464096, -0.0963566154242, 14.1433210373
         5.85, 3.28831362724, -0.0847929120064, 7.04142999649
        5.875, 3.28328371048, -0.0748627632856, -1.03786695004
          5.9, 3.17929029465, -0.0665995702147, -9.9987411499
        5.925, 2.96915507317, -0.0597528927028, -19.7067184448
         5.95, 2.64591646194, -0.053925152868, -30.0222358704
        5.975, 2.20568656921, -0.0501138716936, -40.8025817871
            6, 1.65101289749, -0.0486630350351, -51.905040741
        6.025, 0.984878718853, -0.0494683422148, -63.1881484985
         6.05,  0.2125749439, -0.0523077920079, -74.5130996704
        6.075, -0.659811496735, -0.056590244174, -85.7481460571
          6.1, -1.62868416309, -0.0635339692235, -96.7738189697
        6.125, -2.68839454651, -0.0739753544331, -107.478965759
         6.15, -3.82474541664, -0.0886099040508, -117.722793579
        6.175, -5.01784229279, -0.10658608377, -127.344306946
          6.2, -6.24512767792, -0.126732558012, -136.187652588
        6.225, -7.48486948013, -0.148121744394, -144.105422974
         6.25,  -8.716132164, -0.17027798295, -150.961669922
        6.275, -9.91878032684, -0.192589253187, -156.634536743
          6.3, -11.0799894333, -0.214590013027, -161.017990112
        6.325, -12.1860809326, -0.23647134006, -164.019836426
         6.35, -13.2220153809, -0.25823789835, -165.56288147
        6.375, -14.1740512848, -0.279731303453, -165.585250854
          6.4, -15.0311050415, -0.300115138292, -164.065246582
        6.425, -15.7882299423, -0.31867992878, -161.028488159
         6.45, -16.4406089783, -0.33594173193, -156.511199951
        6.475, -16.9829444885, -0.35186201334, -150.556976318
          6.5, -17.4119586945, -0.365660488605, -143.215652466
        6.525, -17.7272720337, -0.376675516367, -134.54258728
         6.55, -17.9351387024, -0.384732335806, -124.596160889
        6.575, -18.0348701477, -0.39124456048, -113.435058594
          6.6, -18.0216064453, -0.396695375443, -101.119377136
        6.625, -17.8890514374, -0.401112049818, -87.7105789185
         6.65, -17.6307067871, -0.40331274271, -73.2894363403
        6.675, -17.2402687073, -0.40319737792, -58.0158042908
          6.7, -16.7096843719, -0.400799959898, -42.0742073059
        6.725, -16.034948349, -0.397212147713, -25.6521205902
         6.75, -15.2058286667, -0.392918109894, -8.93349170685
        6.775, -14.2172441483, -0.385011970997, 7.90258646011
          6.8, -13.0778484344, -0.372814834118, 24.6833953857
        6.825, -11.8047561646, -0.355994701385, 41.2408485413
         6.85, -10.4159965515, -0.335048526525, 57.4068412781
        6.875, -8.92389965057, -0.310601502657, 73.0088500977
          6.9, -7.33495616913, -0.283913880587, 87.8458633423
        6.925, -5.65912389755, -0.257435560226,  101.64541626
         6.95, -3.91377687454, -0.231723964214, 114.293029785
        6.975, -2.11962080002, -0.207004621625, 125.714424133
            7, -0.303866952658, -0.18289758265, 135.858535767
        7.025, 1.51220071316, -0.157925769687, 144.695205688
         7.05, 3.31006979942, -0.13245280087, 152.208084106
        7.075, 5.07310056686, -0.106387667358, 158.393737793
          7.1, 6.78395938873, -0.0770237669349, 163.260726929
        7.125, 8.41310596466, -0.04557197541, 166.831130981
         7.15,  9.9505777359, -0.013916682452, 169.141311646
        7.175, 11.3916559219, 0.0172038450837, 170.237716675
          7.2, 12.7317314148, 0.0489974878728, 170.175323486
        7.225,  13.962729454, 0.0806507244706, 169.017364502
         7.25, 15.0825557709, 0.112432003021, 166.833892822
        7.275, 16.0830554962, 0.14598827064, 163.700317383
          7.3, 16.9503002167, 0.180806443095, 159.698104858
        7.325, 17.6721057892, 0.217653974891,  154.91633606
         7.35, 18.2348632812, 0.254634916782, 149.451080322
        7.375, 18.6443786621, 0.288483738899, 143.402923584
          7.4, 18.9153499603, 0.318973749876, 136.871063232
        7.425, 19.0640239716, 0.344926267862, 129.950881958
         7.45, 19.1161174774, 0.365384668112, 122.730323792
        7.475, 19.0906791687, 0.383463829756,  115.28578186
          7.5, 18.9926128387, 0.400749772787, 107.684066772
        7.525, 18.8232078552, 0.416601061821, 99.9845733643
         7.55, 18.5855426788, 0.431154966354, 92.2399215698
        7.575, 18.2813529968, 0.444206058979, 84.4961929321
          7.6, 17.9131278992, 0.455498337746, 76.7939147949
        7.625, 17.4839859009, 0.464773148298, 69.1687545776
         7.65, 16.9982452393, 0.471656709909, 61.6521987915
        7.675, 16.4607639313, 0.476053506136,  54.272441864
          7.7, 15.8750648499, 0.478551924229, 47.0553665161
        7.725, 15.2396268845, 0.480043530464, 40.0227661133
         7.75, 14.5553789139, 0.478078961372, 33.1904373169
        7.775, 13.8301620483, 0.472196400166, 26.5703754425
          7.8, 13.0741519928, 0.463085085154,  20.176197052
        7.825, 12.2962503433, 0.451688766479,  14.025680542
         7.85, 11.5027589798, 0.439435869455, 8.14164161682
        7.875, 10.6987829208, 0.427042722702, 2.54841566086
          7.9, 9.88617134094, 0.415076315403, -2.73071813583
        7.925, 9.06534481049, 0.403502523899, -7.67509031296
         7.95, 8.23744773865, 0.391958385706, -12.2675848007
        7.975, 7.40535116196, 0.379932940006, -16.494890213
            8, 6.57337379456, 0.366995155811, -20.3469409943
        8.025,  5.7474322319, 0.353031337261, -23.8163204193
         8.05, 4.93334817886, 0.338021397591, -26.8982448578
        8.075, 4.13785219193, 0.321872353554, -29.5903358459
          8.1, 3.36718225479, 0.304957032204, -31.8933105469
        8.125,  2.6245906353, 0.287710785866, -33.8108062744
         8.15, 1.91302013397, 0.270167320967, -35.349029541
        8.175, 1.23430645466, 0.252630591393, -36.5167198181
          8.2, 0.590236783028, 0.234088465571, -37.3247718811
        8.225, -0.00743725290522, 0.214431509376, -37.7873344421
         8.25, -0.557296872139, 0.195204615593, -37.923160553
        8.275, -1.06113541126, 0.17666643858, -37.7533226013
          8.3, -1.52026891708, 0.15849943459, -37.300693512
        8.325, -1.93582427502, 0.140820726752, -36.5897445679
         8.35, -2.30960869789, 0.123537689447, -35.6460838318
        8.375, -2.64117145538, 0.105970472097, -34.4961433411
          8.4, -2.92897868156, 0.0887260511518, -33.1675605774
        8.425, -3.17500948906, 0.0719156935811, -31.6883468628
         8.45, -3.38064312935, 0.0555393397808, -30.0859546661
        8.475, -3.54746508598, 0.039589561522, -28.3868274689
          8.5, -3.67648506165, 0.0241335146129, -26.6160945892
        8.525, -3.76819849014, 0.00902317557484, -24.7977466583
         8.55, -3.82180404663, -0.00601244298741, -22.9545459747
        8.575, -3.83724594116, -0.0200022086501, -21.1082305908
          8.6, -3.81902503967, -0.032717410475, -19.2790699005
        8.625, -3.77013373375, -0.0443262830377, -17.4852218628
         8.65, -3.69343590736, -0.0548111759126, -15.7429103851
        8.675, -3.59202432632, -0.0640894025564, -14.0663776398
          8.7, -3.46929621696, -0.0721202194691, -12.467798233
        8.725, -3.32872676849, -0.0789001360536, -10.9572019577
         8.75, -3.17371249199, -0.0844623744488, -9.54246234894
        8.775, -3.00743770599, -0.0888616740704, -8.22935390472
          8.8, -2.83281421661, -0.0921645313501, -7.02165126801
        8.825, -2.65246009827, -0.0944413915277, -5.92127466202
         8.85, -2.46870994568, -0.095763027668, -4.92846822739
        8.875, -2.28353261948, -0.0962132811546, -4.04198884964
          8.9, -2.0984621048, -0.0958599671721, -3.25901460648
        8.925, -1.91307938099, -0.0948392003775, -2.57498884201
         8.95, -1.72664904594, -0.0929532647133, -1.98326027393
        8.975, -1.53950202465, -0.0899135023355, -1.47546219826
            9, -1.35484182835, -0.0857277289033, -1.04350316525
        9.025, -1.17697644234, -0.0806940048933, -0.680959403515
         9.05, -1.00979185104, -0.0752427875996, -0.383449584246
        9.075, -0.855768978596, -0.0697876438498, -0.1481513381
          9.1, -0.71566671133, -0.0646209642291, 0.0271163117141
        9.125, -0.588778495789, -0.0598705038428, 0.14483705163
         9.15, -0.473557204008, -0.0555125437677, 0.208451867104
        9.175, -0.368329972029, -0.0514248870313, 0.222573101521
          9.2, -0.271861553192, -0.0474572330713, 0.192773044109
        9.225, -0.18361774087, -0.0434936136007, 0.125100895762
         9.25, -0.103702902794, -0.0394876822829, 0.025545027107
        9.275, -0.0325764603913, -0.0354664735496, -0.100385688245
          9.3, 0.0292922351509, -0.0315079912543, -0.247865796089
        9.325, 0.0816963687539, -0.0277082249522, -0.412743896246
         9.35, 0.124834656715, -0.024150731042, -0.591390132904
        9.375, 0.159303873777, -0.0208870135248, -0.780495047569
          9.4, 0.185978263617, -0.0179305840284, -0.976898312569
        9.425, 0.205835744739, -0.0152628766373, -1.17749512196
         9.45, 0.219792664051, -0.0128462957218, -1.37923145294
        9.475, 0.22859287262, -0.0106389448047, -1.57916843891
          9.5, 0.232769057155, -0.00860639661551, -1.77457654476
        9.525, 0.23267069459, -0.00672825286165, -1.96302032471
         9.55, 0.228540346026, -0.0050003840588, -2.14240670204
        9.575,  0.2206197083, -0.00343464291655, -2.31098937988
          9.6, 0.209257349372, -0.00205344799906, -2.46734404564
        9.625, 0.194961935282, -0.000875603000168, -2.61033701897
         9.65, 0.178360283375, 9.69293396338e-05, -2.73909854889
        9.675, 0.160096287727, 0.000879580911715, -2.85300588608
          9.7, 0.140755787492, 0.00149404909462, -2.95168662071
        9.725, 0.120842345059, 0.00196124217473, -3.03501439095
         9.75, 0.10077945143, 0.00230233347975, -3.10308027267
        9.775, 0.0809081867337, 0.0025349163916, -3.15617156029
          9.8, 0.0615017488599, 0.00267353793606, -3.19474673271
        9.825, 0.0427793040872, 0.00272994069383, -3.21940970421
         9.85, 0.02492040582, 0.00271398480982, -3.23088264465
        9.875, 0.00807374995202, 0.00263480213471, -3.22998070717
          9.9, -0.00764980027452, 0.00250011030585, -3.21761226654
        9.925, -0.0221630111337, 0.00231401878409, -3.19477581978
         9.95, -0.0353791005909, 0.00208182958886, -3.16251993179
        9.975, -0.047206170857, 0.0018116022693, -3.12190437317
